Epoch=1, loss_theta=2.915e+00,  energy_data=-1.052e+01,  energy_ebm=-1.344e+01,  regularize_term=3.539e+01
Epoch=2, loss_theta=-1.793e+00,  energy_data=-2.203e+01,  energy_ebm=-2.024e+01,  regularize_term=9.501e-01
Epoch=3, loss_theta=-1.883e+00,  energy_data=-2.223e+01,  energy_ebm=-2.035e+01,  regularize_term=9.493e-01
Epoch=4, loss_theta=-1.889e+00,  energy_data=-2.220e+01,  energy_ebm=-2.031e+01,  regularize_term=9.466e-01
Epoch=5, loss_theta=-1.856e+00,  energy_data=-2.203e+01,  energy_ebm=-2.017e+01,  regularize_term=9.312e-01
Epoch=6, loss_theta=-1.870e+00,  energy_data=-2.209e+01,  energy_ebm=-2.022e+01,  regularize_term=9.367e-01
Epoch=7, loss_theta=-1.883e+00,  energy_data=-2.216e+01,  energy_ebm=-2.028e+01,  regularize_term=9.429e-01
Epoch=8, loss_theta=-1.838e+00,  energy_data=-2.189e+01,  energy_ebm=-2.005e+01,  regularize_term=9.210e-01
Epoch=9, loss_theta=-1.836e+00,  energy_data=-2.187e+01,  energy_ebm=-2.003e+01,  regularize_term=9.189e-01
Epoch=10, loss_theta=-1.759e+00,  energy_data=-2.139e+01,  energy_ebm=-1.963e+01,  regularize_term=8.809e-01
Epoch=11, loss_theta=-1.878e+00,  energy_data=-2.208e+01,  energy_ebm=-2.020e+01,  regularize_term=9.377e-01
